player card id,first_name,last_name,gender,age,email,telephone number,state,player points
88057,North,Hagwood,Female,79,nhagwood0@stanford.edu,408-588-5846,California,1985
62811,Linell,Zelake,Female,52,lzelake1@flickr.com,504-387-1190,Louisiana,5161
20005,Schuyler,Bowcock,Female,63,sbowcock2@foxnews.com,704-674-4636,North Carolina,8953
65614,Tania,Hengoed,Non-binary,77,thengoed3@sbwire.com,808-722-9684,Hawaii,2025
23437,Gris,Vanin,Female,67,gvanin4@networksolutions.com,702-284-2729,Nevada,2372
16169,Court,Turfrey,Non-binary,56,cturfrey5@mozilla.org,717-261-0486,Pennsylvania,850
57162,Hermina,Puttan,Male,51,hputtan6@spiegel.de,612-653-5967,Minnesota,5371
96269,Niko,Wearne,Female,26,nwearne7@biglobe.ne.jp,609-853-3136,New Jersey,18
44127,Eberto,Portress,Female,75,eportress8@surveymonkey.com,714-559-5545,California,9128
97468,Michal,Crayk,Female,64,mcrayk9@virginia.edu,785-160-3016,Kansas,192
22275,Omero,Ormerod,Male,56,oormeroda@pbs.org,937-520-9779,Ohio,9386
21030,Jason,Lavery,Male,67,jlaveryb@mail.ru,408-485-8563,California,6939
67626,Josias,Pilch,Female,24,jpilchc@vimeo.com,914-484-8330,New York,5001
90759,Charles,Guppey,Female,39,cguppeyd@answers.com,937-610-0460,Ohio,2924
53835,Mella,Yourell,Female,47,myourelle@nhs.uk,336-201-8946,North Carolina,6073
37820,Antons,Barthelme,Female,63,abarthelmef@gmpg.org,847-223-9879,Illinois,9422
97633,Timmi,Whall,Male,76,twhallg@icq.com,302-302-3840,Delaware,3134
24962,Felizio,Kilkenny,Female,58,fkilkennyh@liveinternet.ru,918-104-0252,Oklahoma,2092
97182,Cara,Valder,Male,22,cvalderi@hp.com,918-582-0954,Oklahoma,4300
11073,Addison,Ridges,Male,51,aridgesj@cbc.ca,773-250-5897,Illinois,2829
13443,Olivie,Chesswas,Female,28,ochesswask@redcross.org,510-927-5717,California,7311
41632,Adda,Coltart,Non-binary,79,acoltartl@ted.com,337-986-3562,Louisiana,6251
11400,Vivi,McIlvoray,Female,67,vmcilvoraym@cdc.gov,334-474-2657,Alabama,894
96000,Valli,Bendell,Non-binary,43,vbendelln@altervista.org,267-676-2097,Pennsylvania,3517
41863,Dorothea,Maruska,Female,62,dmaruskao@youtu.be,636-462-4273,Missouri,2475
17660,Dickie,Yarmouth,Male,50,dyarmouthp@dagondesign.com,910-155-3197,North Carolina,7065
51570,Andriana,Milburne,Male,38,amilburneq@eventbrite.com,302-976-1789,Delaware,7650
